problem	baselinescore	metric
185_baseball_problem	0.691369767	f1Macro
196_autoMpg_problem	7.370767716	meanSquaredError
22_handgeometry_problem	0.727667543	meanSquaredError
26_radon_seed_problem	1.153489069	rootMeanSquaredError
30_personae_problem	0.5	f1
31_urbansound_problem	0.303834808	accuracy
313_spectrometer_problem	0.190949527	f1Macro
32_wikiqa_problem	0.059308072	f1
38_sick_problem	0.849965827	f1Macro
4550_MiceProtein_problem	1	f1Macro
49_facebook_problem	0.5	accuracy
59_umls_problem	0.498093282	accuracy
6_70_com_amazon_problem	0.659361843	normalizedMutualInformation
60_jester_problem	6.031865969	meanAbsoluteError
LL1_net_nomination_seed_problem	0.85	accuracy
uu1_datasmash_problem	0.331797235	f1Macro
uu3_world_development_indicators_problem	16.1146785	rootMeanSquaredError
uu4_SPECT_problem	0.818181818	f1